"","vehicle_class","fuel_type","engine_size","cylinders","fuel_consumption","CO2_emissions"
"BUICK PARK AVENUE # A4","Car","Diesel",3.8,6,14.5,278
"BMW M3 CONVERTIBLE M6","Car","Diesel",3.2,6,16.6,324
"PONTIAC BONNEVILLE A4","Car","Gas",3.8,6,13.8,265
"MERCEDES-BENZ CLK 430 A5","Car","Diesel",4.3,8,14.5,290
"BMW 330Ci M5","Car","Diesel",3,6,12.8,251
"CHRYSLER SEBRING CONVERTIBLE AS4","Car","Gas",2.7,6,13.3,262
"TOYOTA RAV4 4X4 A4","Truck/SUV","Gas",2,4,11.9,251
"MERCEDES-BENZ E 320 WAGON A5","Truck/SUV","Diesel",2.3,6,13.5,267
"FORD RANGER M5","Truck/SUV","Gas",3,6,15.2,311
"HYUNDAI TIBURON A4","Car","Gas",2,4,12.5,246
"TOYOTA CELICA M5","Car","Gas",1.8,4,9.6,202
"SATURN L100/200 A4","Car","Gas",2.2,4,11.7,235
"FORD TAURUS WAGON A4","Truck/SUV","Gas",3,6,14.9,290
"MAZDA TRIBUTE 4X4 M5","Truck/SUV","Gas",2,4,12,253
"MAZDA MILLENIA # A4","Car","Diesel",2.3,6,13.7,271
"LEXUS GS 300 AS5","Car","Diesel",3,6,14.9,299
"AUDI A4 A5","Car","Diesel",1.8,4,13.2,260
"ACURA 3.5RL A4","Car","Diesel",3.5,6,15,301
"FORD FOCUS WAGON M5","Truck/SUV","Gas",2,4,9.6,196
"SUBARU IMPREZA WAGON AWD A4","Truck/SUV","Gas",2.2,4,11.7,239
"LINCOLN CONTINENTAL A4","Car","Diesel",4.6,8,15.2,297
"HONDA CIVIC A4","Car","Gas",1.7,4,9.3,189
"SATURN SC COUPE # A4","Car","Gas",1.9,4,10.6,209
"CHRYSLER SEBRING COUPE M5","Car","Gas",3,6,13.1,260
"FORD FOCUS A4","Car","Gas",2,4,10.5,214
"AUDI A4 QUATTRO M5","Car","Diesel",1.8,4,12.2,244
"BMW 330i A5","Car","Diesel",3,6,13.1,260
"TOYOTA 4RUNNER 4X4 A4","Truck/SUV","Gas",3.4,6,16.1,343
"JAGUAR XKR CONVERTIBLE # A5","Car","Diesel",4,8,16.3,327
"LEXUS LS 430 A5","Car","Diesel",4.3,8,14.4,290
"BMW 330xi M5","Car","Diesel",3,6,13.4,267
"HONDA ACCORD A4","Car","Gas",2.3,4,11.8,239
"SUZUKI ESTEEM A4","Car","Gas",1.6,4,9.9,205
"CHRYSLER SEBRING COUPE AS4","Car","Gas",3,6,13.8,274
"LEXUS IS 300 AS5","Car","Diesel",3,6,14.9,304
"AUDI ALLROAD A5","Truck/SUV","Diesel",2.7,6,17.1,345
"HONDA ACCORD M5","Car","Gas",2.3,4,11,223
"GMC G15/G25 SAVANA CARGO A4","Truck/SUV","Gas",4.3,6,17.8,368
"SATURN SL A4","Car","Gas",1.9,4,10,198
"CADILLAC CATERA A4","Car","Diesel",3,6,15.4,308
"NISSAN FRONTIER V6 4X4 M5","Truck/SUV","Gas",3.3,6,16.2,347
"JAGUAR XJ8 A5","Car","Diesel",4,8,15.3,306
"NISSAN FRONTIER A4","Truck/SUV","Gas",2.4,4,13.5,283
"BMW 330Ci CONVERTIBLE A5","Car","Diesel",3,6,14.2,281
"BMW 325xi M5","Car","Diesel",2.5,6,13.6,271
"CHRYSLER SEBRING COUPE A4","Car","Gas",2.4,4,13,262
"VOLVO S80/S80 EXECUTIVE 2.9 A4","Car","Diesel",2.9,6,13.6,271
"DODGE DAKOTA 4X4 M5","Truck/SUV","Gas",3.9,6,18.1,361
"HONDA CR-V A4","Truck/SUV","Gas",2,4,12.5,267
"MERCEDES-BENZ E 320 4MATIC WAGON 4X4 A5","Truck/SUV","Diesel",3.2,6,13.5,271
"ACURA 3.2CL AS5","Car","Diesel",3.2,6,13.7,265
"SAAB 9-5 WAGON TURBO A4","Truck/SUV","Gas",2.3,4,13.3,262
